短期均线,长期均线,夏普比率,最大回撤
5,20,-1.0961065868668025,2.816377155436815
5,30,-1.11854293543094,1.869196253123599
5,40,-1.046403420359495,1.6721211225143005
5,50,-1.016179808337464,1.4976865248217242
5,60,-1.1428833528231725,1.7194906852591914
10,20,-1.1160054347212167,2.867289071667
10,30,-0.9179543706260247,1.8680699398488818
10,40,-1.1214608460154591,1.5255975996682583
10,50,-1.147408116896486,1.9356844514918754
10,60,-1.0635405246239273,2.095821369404615
15,20,-1.054847186725141,3.699898807027981
15,30,-1.0021808267383712,1.81510710876603
15,40,-1.0492137543163622,1.6474176101802744
15,50,-1.1615416418267568,2.1183779756607364
15,60,-1.0924449850949112,1.9759635618691007
20,30,-1.180975912031543,2.2987111720292703
20,40,-1.1229869141004167,2.266968518792343
20,50,-1.2203040066261104,2.5427376876647045
20,60,-1.2346956546502885,2.5149725188479826
